,hp_direct_qw
0,137.62989407480686
1,137.62989407480686
2,137.62989407480686
3,137.62989407480686
4,137.62989407480686
5,137.62989407480686
6,137.62989407480686
7,137.62989407480686
8,137.62989407480686
9,132.5808488436582
10,134.69155052908778
11,137.62989407480686
12,137.62989407480686
13,137.62989407480686
14,137.62989407480686
15,137.62989407480686
16,137.62989407480686
17,137.62989407480686
18,137.62989407480686
19,137.62989407480686
20,137.62989407480686
21,137.62989407480686
22,137.62989407480686
23,137.62989407480686
24,137.62989407480686
25,137.62989407480686
26,134.21194699907372
27,137.3324233234587
28,133.2925634492493
29,137.62989407480686
30,137.62989407480686
31,137.62989407480686
32,125.55230310405086
33,137.313404100539
34,137.62989407480686
35,137.62989407480686
36,137.62989407480686
37,137.62989407480686
38,137.62989407480686
39,137.62989407480686
40,137.62989407480686
41,137.62989407480686
42,137.62989407480686
43,137.62989407480686
44,137.62989407480686
45,137.62989407480686
46,137.62989407480686
47,137.62989407480686
48,137.62989407480686
49,137.62989407480686
50,137.62989407480686
51,137.62989407480686
52,137.59708667539297
53,137.62989407480686
54,137.62989407480686
55,137.62989407480686
56,137.62989407480686
57,137.62989407480686
58,137.62989407480686
59,137.62989407480686
60,137.62989407480686
61,137.62989407480686
62,137.62989407480686
63,137.62989407480686
64,137.62989407480686
65,137.62989407480686
66,137.62989407480686
67,137.62989407480686
68,137.62989407480686
69,137.62989407480686
70,137.62989407480686
71,137.62989407480686
72,137.62989407480686
73,137.62989407480686
74,137.62989407480686
75,137.62989407480686
76,137.62989407480686
77,137.62989407480686
78,137.62989407480686
79,137.62989407480686
80,137.62989407480686
81,137.62989407480686
82,137.62989407480686
83,137.62989407480686
84,137.62989407480686
85,137.62989407480686
86,137.62989407480686
87,137.62989407480686
88,137.62989407480686
89,137.62989407480686
90,137.62989407480686
91,137.62989407480686
92,137.62989407480686
93,137.62989407480686
94,137.62989407480686
95,137.62989407480686
96,137.62989407480686
97,137.62989407480686
98,137.62989407480686
99,137.62989407480686
100,137.62989407480686
101,137.62989407480686
102,137.62989407480686
103,137.62989407480686
104,137.62989407480686
105,137.62989407480686
106,137.62989407480686
107,137.62989407480686
108,137.62989407480686
109,137.62989407480686
110,137.62989407480686
111,137.62989407480686
112,137.62989407480686
113,137.62989407480686
114,137.62989407480686
115,137.62989407480686
116,137.62989407480686
117,137.62989407480686
118,137.62989407480686
119,137.62989407480686
120,137.62989407480686
121,137.62989407480686
122,137.62989407480686
123,137.62989407480686
124,137.62989407480686
125,137.62989407480686
126,137.62989407480686
127,137.62989407480686
128,137.62989407480686
129,137.62989407480686
130,137.62989407480686
131,137.62989407480686
132,137.62989407480686
133,137.62989407480686
134,137.62989407480686
135,137.62989407480686
136,137.62989407480686
137,137.62989407480686
138,137.62989407480686
139,137.62989407480686
140,137.62989407480686
141,137.62989407480686
142,137.62989407480686
143,137.62989407480686
144,137.62989407480686
145,137.62989407480686
146,137.62989407480686
147,137.62989407480686
148,137.62989407480686
149,137.62989407480686
150,137.62989407480686
151,137.62989407480686
152,137.62989407480686
153,137.62989407480686
154,137.62989407480686
155,137.62989407480686
156,137.62989407480686
157,137.62989407480686
158,137.62989407480686
159,137.62989407480686
160,137.62989407480686
161,137.62989407480686
162,137.62989407480686
163,137.62989407480686
164,137.62989407480686
165,137.62989407480686
166,137.62989407480686
167,137.62989407480686
168,137.62989407480686
169,137.62989407480686
170,137.62989407480686
171,137.62989407480686
172,137.62989407480686
173,137.62989407480686
174,137.62989407480686
175,137.62989407480686
176,137.62989407480686
177,137.62989407480686
178,137.62989407480686
179,137.62989407480686
180,137.62989407480686
181,137.62989407480686
182,137.62989407480686
183,137.62989407480686
184,137.62989407480686
185,137.62989407480686
186,137.62989407480686
187,137.62989407480686
188,137.62989407480686
189,137.62989407480686
190,137.62989407480686
191,137.62989407480686
192,137.62989407480686
193,137.62989407480686
194,137.62989407480686
195,137.62989407480686
196,137.62989407480686
197,137.62989407480686
198,137.62989407480686
199,137.62989407480686
200,137.62989407480686
201,137.62989407480686
202,137.62989407480686
203,137.62989407480686
204,137.62989407480686
205,137.62989407480686
206,137.62989407480686
207,137.62989407480686
208,137.62989407480686
209,137.62989407480686
210,137.62989407480686
211,137.62989407480686
212,137.62989407480686
213,137.62989407480686
214,137.62989407480686
215,137.62989407480686
216,137.62989407480686
217,137.62989407480686
218,137.62989407480686
219,137.62989407480686
220,137.62989407480686
221,137.62989407480686
222,137.62989407480686
223,137.62989407480686
224,0.0
225,0.0
226,0.0
227,0.0
228,137.62989407480686
229,137.62989407480686
230,137.62989407480686
231,137.62989407480686
232,137.62989407480686
233,137.62989407480686
234,137.62989407480686
235,137.62989407480686
236,137.62989407480686
237,137.62989407480686
238,137.62989407480686
239,137.62989407480686
240,137.62989407480686
241,137.62989407480686
242,137.62989407480686
243,137.62989407480686
244,137.62989407480686
245,137.62989407480686
246,137.62989407480686
247,137.62989407480686
248,137.62989407480686
249,137.62989407480686
250,137.62989407480686
251,137.62989407480686
252,137.62989407480686
253,137.62989407480686
254,137.62989407480686
255,137.62989407480686
256,137.62989407480686
257,137.62989407480686
258,137.62989407480686
259,137.62989407480686
260,137.62989407480686
261,137.62989407480686
262,137.62989407480686
263,137.62989407480686
264,137.62989407480686
265,137.62989407480686
266,137.62989407480686
267,137.62989407480686
268,137.62989407480686
269,137.62989407480686
270,137.62989407480686
271,137.62989407480686
272,137.62989407480686
273,137.62989407480686
274,137.62989407480686
275,137.62989407480686
276,137.62989407480686
277,137.62989407480686
278,137.62989407480686
279,137.62989407480686
280,137.62989407480686
281,137.62989407480686
282,137.62989407480686
283,137.62989407480686
284,137.62989407480686
285,137.62989407480686
286,137.62989407480686
287,137.62989407480686
288,137.62989407480686
289,137.62989407480686
290,137.62989407480686
291,137.62989407480686
292,137.62989407480686
293,137.62989407480686
294,137.62989407480686
295,137.62989407480686
296,137.62989407480686
297,137.62989407480686
298,137.62989407480686
299,137.62989407480686
300,137.62989407480686
301,137.62989407480686
302,137.62989407480686
303,137.62989407480686
304,137.62989407480686
305,137.62989407480686
306,137.62989407480686
307,137.62989407480686
308,137.62989407480686
309,137.62989407480686
310,137.62989407480686
311,137.62989407480686
312,137.62989407480686
313,137.62989407480686
314,137.62989407480686
315,137.62989407480686
316,137.62989407480686
317,137.62989407480686
318,137.62989407480686
319,137.62989407480686
320,137.62989407480686
321,137.62989407480686
322,137.62989407480686
323,137.62989407480686
324,137.62989407480686
325,137.62989407480686
326,137.62989407480686
327,137.62989407480686
328,137.62989407480686
329,137.62989407480686
330,137.62989407480686
331,137.62989407480686
332,137.62989407480686
333,137.62989407480686
334,137.62989407480686
335,137.62989407480686
336,137.62989407480686
337,137.62989407480686
338,137.62989407480686
339,137.62989407480686
340,137.62989407480686
341,137.62989407480686
342,137.62989407480686
343,137.62989407480686
344,137.62989407480686
345,137.62989407480686
346,137.62989407480686
347,137.62989407480686
348,137.62989407480686
349,137.62989407480686
350,137.62989407480686
351,137.62989407480686
352,137.62989407480686
353,137.62989407480686
354,137.62989407480686
355,137.62989407480686
356,137.62989407480686
357,137.62989407480686
358,137.62989407480686
359,137.62989407480686
360,137.62989407480686
361,137.62989407480686
362,137.62989407480686
363,137.62989407480686
364,137.62989407480686
365,137.62989407480686
366,137.62989407480686
367,137.62989407480686
368,137.62989407480686
369,137.62989407480686
370,137.62989407480686
371,137.62989407480686
372,137.62989407480686
373,137.62989407480686
374,137.62989407480686
375,137.62989407480686
376,137.62989407480686
377,137.62989407480686
378,137.62989407480686
379,137.62989407480686
380,137.62989407480686
381,137.62989407480686
382,137.62989407480686
383,137.62989407480686
384,137.62989407480686
385,137.62989407480686
386,137.62989407480686
387,137.62989407480686
388,137.62989407480686
389,137.62989407480686
390,137.62989407480686
391,137.62989407480686
392,137.62989407480686
393,137.62989407480686
394,137.62989407480686
395,137.62989407480686
396,137.62989407480686
397,137.62989407480686
398,137.62989407480686
399,137.62989407480686
400,137.62989407480686
401,137.62989407480686
402,137.62989407480686
403,137.62989407480686
404,137.62989407480686
405,137.62989407480686
406,137.62989407480686
407,137.62989407480686
408,137.62989407480686
409,137.62989407480686
410,137.62989407480686
411,137.62989407480686
412,137.62989407480686
413,137.62989407480686
414,137.62989407480686
415,15.281464812065485
416,25.137619215963564
417,23.21664690414228
418,34.179423314532166
419,137.62989407480686
420,137.62989407480686
421,137.62989407480686
422,137.62989407480686
